condition,range,layer,resid_post_final_token_norm
Transactional framing,20-25,20,148.500000
Transactional framing,20-25,21,175.125000
Transactional framing,20-25,22,203.375000
Transactional framing,20-25,23,229.500000
Transactional framing,20-25,24,264.500000
Transactional framing,20-25,25,310.000000
Transactional framing,20-25,26,354.750000
Transactional framing,20-25,27,390.750000
Transactional framing,20-25,28,446.500000
Transactional framing,20-25,29,511.500000
Transactional framing,20-25,30,587.500000
Transactional framing,20-25,31,924.500000
Transactional framing,30-40,0,5.253906
Transactional framing,30-40,1,5.980469
Transactional framing,30-40,2,7.488281
Transactional framing,30-40,3,9.601562
Transactional framing,30-40,4,12.039062
Transactional framing,30-40,5,15.640625
Transactional framing,30-40,6,20.359375
Transactional framing,30-40,7,24.781250
Transactional framing,30-40,8,29.062500
Transactional framing,30-40,9,37.312500
Transactional framing,30-40,10,43.375000
Transactional framing,30-40,11,46.062500
Transactional framing,30-40,12,55.781250
Transactional framing,30-40,13,65.500000
Transactional framing,30-40,14,78.625000
Transactional framing,30-40,15,86.125000
Transactional framing,30-40,16,93.500000
Transactional framing,30-40,17,104.687500
Transactional framing,30-40,18,122.000000
Transactional framing,30-40,19,129.000000
Transactional framing,30-40,20,157.875000
Transactional framing,30-40,21,189.250000
Transactional framing,30-40,22,224.000000
Transactional framing,30-40,23,253.250000
Transactional framing,30-40,24,295.750000
Transactional framing,30-40,25,356.000000
Transactional framing,30-40,26,406.500000
Transactional framing,30-40,27,437.500000
Transactional framing,30-40,28,494.250000
Transactional framing,30-40,29,550.000000
Transactional framing,30-40,30,631.000000
Transactional framing,30-40,31,1120.000000
