condition,range,layer,resid_post_final_token_norm
Simple introspective,30-40,5,14.460938
Simple introspective,30-40,6,19.421875
Simple introspective,30-40,7,24.937500
Simple introspective,30-40,8,31.078125
Simple introspective,30-40,9,38.593750
Simple introspective,30-40,10,44.500000
Simple introspective,30-40,11,48.031250
Simple introspective,30-40,12,60.593750
Simple introspective,30-40,13,67.875000
Simple introspective,30-40,14,76.625000
Simple introspective,30-40,15,86.875000
Simple introspective,30-40,16,93.062500
Simple introspective,30-40,17,106.562500
Simple introspective,30-40,18,124.125000
Simple introspective,30-40,19,132.500000
Simple introspective,30-40,20,153.375000
Simple introspective,30-40,21,183.375000
Simple introspective,30-40,22,220.625000
Simple introspective,30-40,23,250.625000
Simple introspective,30-40,24,295.750000
Simple introspective,30-40,25,354.250000
Simple introspective,30-40,26,406.250000
Simple introspective,30-40,27,445.250000
Simple introspective,30-40,28,510.750000
Simple introspective,30-40,29,578.000000
Simple introspective,30-40,30,653.000000
Simple introspective,30-40,31,1122.000000
Thin neutral persona,8-10,0,5.382812
Thin neutral persona,8-10,1,6.210938
Thin neutral persona,8-10,2,7.789062
Thin neutral persona,8-10,3,9.898438
Thin neutral persona,8-10,4,12.750000
Thin neutral persona,8-10,5,17.031250
Thin neutral persona,8-10,6,21.453125
Thin neutral persona,8-10,7,28.796875
Thin neutral persona,8-10,8,33.781250
Thin neutral persona,8-10,9,42.218750
Thin neutral persona,8-10,10,51.250000
Thin neutral persona,8-10,11,53.125000
Thin neutral persona,8-10,12,62.468750
Thin neutral persona,8-10,13,69.875000
Thin neutral persona,8-10,14,79.062500
Thin neutral persona,8-10,15,84.812500
Thin neutral persona,8-10,16,95.687500
Thin neutral persona,8-10,17,107.062500
Thin neutral persona,8-10,18,125.625000
Thin neutral persona,8-10,19,134.625000
Thin neutral persona,8-10,20,159.375000
Thin neutral persona,8-10,21,185.375000
Thin neutral persona,8-10,22,214.875000
Thin neutral persona,8-10,23,241.125000
Thin neutral persona,8-10,24,278.250000
Thin neutral persona,8-10,25,337.250000
Thin neutral persona,8-10,26,377.000000
Thin neutral persona,8-10,27,406.750000
Thin neutral persona,8-10,28,454.750000
Thin neutral persona,8-10,29,510.000000
Thin neutral persona,8-10,30,575.500000
Thin neutral persona,8-10,31,930.500000
Thin neutral persona,20-25,0,5.296875
Thin neutral persona,20-25,1,6.160156
Thin neutral persona,20-25,2,7.503906
Thin neutral persona,20-25,3,9.445312
Thin neutral persona,20-25,4,12.148438
Thin neutral persona,20-25,5,15.468750
Thin neutral persona,20-25,6,20.437500
Thin neutral persona,20-25,7,26.515625
Thin neutral persona,20-25,8,34.250000
Thin neutral persona,20-25,9,42.093750
Thin neutral persona,20-25,10,53.468750
Thin neutral persona,20-25,11,56.781250
Thin neutral persona,20-25,12,65.812500
Thin neutral persona,20-25,13,72.375000
Thin neutral persona,20-25,14,84.250000
Thin neutral persona,20-25,15,90.937500
Thin neutral persona,20-25,16,100.375000
Thin neutral persona,20-25,17,112.250000
Thin neutral persona,20-25,18,128.375000
Thin neutral persona,20-25,19,136.125000
Thin neutral persona,20-25,20,158.875000
Thin neutral persona,20-25,21,185.125000
Thin neutral persona,20-25,22,212.500000
Thin neutral persona,20-25,23,236.125000
Thin neutral persona,20-25,24,277.500000
Thin neutral persona,20-25,25,331.750000
Thin neutral persona,20-25,26,371.250000
Thin neutral persona,20-25,27,400.250000
Thin neutral persona,20-25,28,456.250000
Thin neutral persona,20-25,29,524.000000
Thin neutral persona,20-25,30,589.500000
Thin neutral persona,20-25,31,961.000000
Thin neutral persona,30-40,0,5.015625
Thin neutral persona,30-40,1,5.804688
Thin neutral persona,30-40,2,7.332031
Thin neutral persona,30-40,3,9.257812
Thin neutral persona,30-40,4,11.984375
Thin neutral persona,30-40,5,15.531250
Thin neutral persona,30-40,6,20.406250
Thin neutral persona,30-40,7,26.625000
Thin neutral persona,30-40,8,33.656250
Thin neutral persona,30-40,9,41.937500
Thin neutral persona,30-40,10,51.906250
Thin neutral persona,30-40,11,55.281250
Thin neutral persona,30-40,12,63.875000
Thin neutral persona,30-40,13,71.875000
Thin neutral persona,30-40,14,85.500000
Thin neutral persona,30-40,15,94.687500
Thin neutral persona,30-40,16,101.125000
Thin neutral persona,30-40,17,114.125000
Thin neutral persona,30-40,18,130.500000
Thin neutral persona,30-40,19,136.250000
Thin neutral persona,30-40,20,158.375000
Thin neutral persona,30-40,21,184.625000
Thin neutral persona,30-40,22,215.125000
Thin neutral persona,30-40,23,241.500000
Thin neutral persona,30-40,24,282.500000
Thin neutral persona,30-40,25,337.250000
Thin neutral persona,30-40,26,376.750000
Thin neutral persona,30-40,27,404.250000
Thin neutral persona,30-40,28,461.250000
Thin neutral persona,30-40,29,532.500000
Thin neutral persona,30-40,30,599.000000
